FECHA,CONCURSO,N1,N2,N3,N4,N5,N6,BOLSA
05/09/2025,4105,7,8,26,38,40,52,50200000
03/09/2025,4104,12,16,28,38,44,50,48000000
31/08/2025,4103,14,19,21,34,49,52,46500000
29/08/2025,4102,7,12,26,28,46,47,44500000
27/08/2025,4101,15,26,32,35,47,49,42700000
24/08/2025,4100,3,34,35,37,39,40,40700000
22/08/2025,4099,1,21,38,47,50,52,38800000
20/08/2025,4098,7,10,23,28,37,52,37400000
17/08/2025,4097,4,22,33,39,40,54,35700000
15/08/2025,4096,8,14,16,26,34,35,34000000
13/08/2025,4095,9,15,19,21,25,33,32100000
10/08/2025,4094,13,15,17,43,52,55,30500000
08/08/2025,4093,6,33,36,49,53,56,28500000
06/08/2025,4092,21,28,36,37,40,47,26600000
03/08/2025,4091,5,9,13,18,25,39,25100000
01/08/2025,4090,2,3,14,38,41,51,23300000
30/07/2025,4089,9,10,20,35,37,46,21500000
27/07/2025,4088,4,8,24,25,42,43,20100000
25/07/2025,4087,1,10,20,41,42,48,18000000
23/07/2025,4086,2,33,43,47,51,53,16100000
20/07/2025,4085,13,25,26,32,50,55,14600000
18/07/2025,4084,11,20,28,43,49,51,12700000
16/07/2025,4083,14,26,35,46,50,54,10600000
13/07/2025,4082,7,21,35,52,53,56,10400000
11/07/2025,4081,8,20,27,30,31,49,10300000
09/07/2025,4080,4,6,15,19,38,45,10200000
06/07/2025,4079,11,19,32,33,44,46,10100000
04/07/2025,4078,1,7,19,32,40,47,10000000
02/07/2025,4077,1,19,33,34,36,47,139300000
29/06/2025,4076,9,20,37,47,50,52,137800000
27/06/2025,4075,1,15,19,35,36,49,135900000
25/06/2025,4074,17,24,26,31,39,51,133700000
22/06/2025,4073,21,22,36,39,54,55,132200000
20/06/2025,4072,24,29,30,31,47,53,130200000
18/06/2025,4071,9,15,31,40,45,50,128100000
15/06/2025,4070,1,17,18,33,46,49,126300000
13/06/2025,4069,20,22,24,33,48,50,124100000
11/06/2025,4068,7,27,42,44,55,56,122000000
08/06/2025,4067,7,20,27,35,38,48,120500000
06/06/2025,4066,1,5,7,23,38,42,118300000
